model,variant,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage,engine_capacity,battery_capacity,charging_time,seating_capacity,ground_clearance,boot_space
Tesla Roadster,Plaid,Midnight Silver Metallic,Electric,Automatic,231812.05,2025-02-26,2025-05-13,New Jersey,432.1,0,93.4,6.9,5,140.8,591
Tesla Model Y,Plaid,Ultra Red,Electric,Automatic,51383.24,2026-01-03,2026-02-09,Colorado,306.2,0,73.3,9.0,7,143.2,716
Tesla Model 3,Standard Range,Stealth Grey,Electric,Automatic,51863.09,2025-05-20,2025-07-19,New Jersey,318.3,0,72.3,1.3,5,161.6,427
Tesla Model X,Long Range,Deep Blue Metallic,Electric,Automatic,129098.28,2024-09-22,2024-10-16,California,309.8,0,84.9,7.2,7,166.3,446
Tesla Cybertruck,Plaid,Red Multi-Coat,Electric,Automatic,75224.02,2026-01-02,2026-02-09,Connecticut,387.3,0,61.9,4.6,5,142.3,502
Tesla Cybertruck,Performance,Midnight Silver Metallic,Electric,Automatic,56829.96,2024-07-15,2024-09-21,Colorado,483.7,0,98.2,8.0,5,164.1,577
Tesla Model Y,Plaid,Solid Black,Electric,Automatic,44219.32,2024-11-04,2025-01-11,California,290.7,0,99.0,6.4,7,145.1,868
Tesla Model S,Long Range,Stealth Grey,Electric,Automatic,83283.77,2024-08-22,2024-11-07,Colorado,362.3,0,63.9,3.1,5,162.3,631
Tesla Cybertruck,Plaid,Ultra Red,Electric,Automatic,70557.71,2025-10-01,2025-10-08,California,293.2,0,90.5,7.5,5,164.3,566
Tesla Model Y,Performance,Red Multi-Coat,Electric,Automatic,63118.76,2024-06-22,2024-08-09,Arizona,329.8,0,65.0,4.6,7,143.0,817
Tesla Model 3,Plaid,Ultra Red,Electric,Automatic,42950.62,2024-11-19,2024-11-21,Illinois,308.8,0,85.3,11.2,5,146.6,483
Tesla Cybertruck,Standard Range,Stealth Grey,Electric,Automatic,69456.65,2024-10-12,2024-11-30,Virginia,342.5,0,81.2,2.9,5,161.3,630
Tesla Cybertruck,Long Range,Midnight Silver Metallic,Electric,Automatic,58218.61,2024-05-21,2024-06-03,Connecticut,461.5,0,70.0,5.4,5,163.4,499
Tesla Cybertruck,Performance,Red Multi-Coat,Electric,Automatic,74741.45,2025-11-20,2026-01-03,Texas,471.4,0,75.9,8.8,5,153.4,567
Tesla Roadster,Plaid,Pearl White,Electric,Automatic,244111.43,2024-06-04,2024-08-08,Colorado,442.3,0,99.8,4.2,5,166.8,521
Tesla Cybertruck,Performance,Stealth Grey,Electric,Automatic,76496.46,2025-03-11,2025-04-23,Nevada,472.2,0,75.2,9.2,5,156.1,530
Tesla Model 3,Long Range,Ultra Red,Electric,Automatic,45763.88,2025-11-14,2025-12-25,Virginia,272.9,0,64.7,5.8,5,147.9,632
Tesla Roadster,Long Range,Red Multi-Coat,Electric,Automatic,218152.58,2025-04-24,2025-06-15,Nevada,427.4,0,83.8,9.0,5,149.1,533
Tesla Model Y,Performance,Stealth Grey,Electric,Automatic,64534.63,2024-10-31,2024-12-24,Illinois,326.4,0,80.2,7.3,7,153.1,664
Tesla Model Y,Performance,Ultra Red,Electric,Automatic,56456.25,2025-03-07,2025-03-18,Florida,260.8,0,69.3,0.9,7,145.1,774
Tesla Model 3,Long Range,Deep Blue Metallic,Electric,Automatic,41931.86,2024-08-28,2024-09-03,Colorado,274.6,0,85.6,8.0,5,153.8,633
Tesla Cybertruck,Standard Range,Midnight Silver Metallic,Electric,Automatic,71967.26,2024-09-18,2024-11-15,Connecticut,414.2,0,87.6,5.0,5,165.6,529
Tesla Model X,Plaid,Midnight Silver Metallic,Electric,Automatic,89409.26,2024-11-28,2024-12-06,Arizona,312.9,0,73.5,5.5,7,151.4,539
Tesla Model S,Standard Range,Deep Blue Metallic,Electric,Automatic,118931.48,2024-06-03,2024-06-23,Massachusetts,323.1,0,92.9,1.0,5,143.4,451
Tesla Model X,Performance,Stealth Grey,Electric,Automatic,127869.55,2025-08-29,2025-09-30,Nevada,318.3,0,78.4,7.7,7,143.9,522
Tesla Roadster,Plaid,Solid Black,Electric,Automatic,236416.72,2025-06-22,2025-08-02,Maryland,459.3,0,96.5,1.2,5,144.5,532
Tesla Model 3,Plaid,Solid Black,Electric,Automatic,45035.22,2024-05-26,2024-06-25,New Jersey,330.0,0,97.0,8.3,5,165.1,648
Tesla Roadster,Plaid,Pearl White,Electric,Automatic,227035.37,2024-09-04,2024-11-12,Texas,564.0,0,74.5,1.5,5,169.4,642
Tesla Roadster,Plaid,Midnight Silver Metallic,Electric,Automatic,206178.32,2024-10-07,2024-12-30,Nevada,410.4,0,80.6,4.2,5,149.4,428
Tesla Roadster,Plaid,Pearl White,Electric,Automatic,236550.66,2024-08-10,2024-09-01,California,412.6,0,76.5,1.1,5,169.4,506
Tesla Model Y,Standard Range,Deep Blue Metallic,Electric,Automatic,54527.86,2025-11-28,2026-01-22,Florida,328.8,0,74.8,1.3,7,165.2,792
Tesla Model S,Plaid,Pearl White,Electric,Automatic,86808.61,2024-10-16,2025-01-14,Massachusetts,400.2,0,63.7,4.7,5,148.4,542
Tesla Cybertruck,Standard Range,Stealth Grey,Electric,Automatic,49913.14,2025-12-11,2026-01-05,Florida,297.4,0,76.7,1.0,5,141.1,592
Tesla Roadster,Standard Range,Stealth Grey,Electric,Automatic,218684.13,2025-07-03,2025-07-28,New York,571.1,0,82.5,7.2,5,169.9,511
Tesla Model X,Long Range,Deep Blue Metallic,Electric,Automatic,137144.45,2024-11-23,2025-02-06,Washington,320.5,0,65.5,7.1,7,140.6,561
Tesla Model S,Plaid,Solid Black,Electric,Automatic,92626.53,2025-02-15,2025-05-02,Maryland,351.8,0,72.7,6.3,5,153.6,584
Tesla Model S,Performance,Stealth Grey,Electric,Automatic,118958.12,2025-03-24,2025-04-26,Connecticut,363.1,0,86.1,2.2,5,167.2,565
Tesla Model 3,Standard Range,Red Multi-Coat,Electric,Automatic,39571.16,2024-07-08,2024-09-04,Oregon,321.9,0,96.1,7.1,5,164.6,589
Tesla Model 3,Plaid,Solid Black,Electric,Automatic,49123.54,2025-07-25,2025-10-02,Texas,281.7,0,70.5,4.7,5,152.5,545
Tesla Model 3,Long Range,Red Multi-Coat,Electric,Automatic,50545.82,2025-03-18,2025-06-16,Virginia,324.5,0,98.9,2.4,5,153.9,636
Tesla Model X,Plaid,Red Multi-Coat,Electric,Automatic,129632.62,2024-03-27,2024-04-13,Nevada,325.9,0,63.8,1.7,7,144.5,571
Tesla Cybertruck,Long Range,Solid Black,Electric,Automatic,78671.42,2025-03-17,2025-05-18,Nevada,251.6,0,84.6,2.9,5,142.2,627
Tesla Model S,Plaid,Ultra Red,Electric,Automatic,93557.61,2026-02-18,2026-04-20,Virginia,369.0,0,86.9,7.7,5,153.8,478
Tesla Model 3,Plaid,Ultra Red,Electric,Automatic,39409.89,2025-05-16,2025-07-02,Oregon,296.9,0,78.7,8.7,5,148.8,626
Tesla Model S,Performance,Pearl White,Electric,Automatic,98903.98,2024-08-14,2024-09-19,California,340.2,0,85.1,9.6,5,141.9,560
Tesla Model S,Long Range,Ultra Red,Electric,Automatic,106714.09,2025-09-01,2025-11-18,Florida,365.0,0,64.4,3.4,5,154.8,441
Tesla Model S,Performance,Solid Black,Electric,Automatic,106016.11,2026-01-28,2026-03-18,Maryland,338.1,0,67.8,4.0,5,156.3,623
Tesla Model 3,Standard Range,Stealth Grey,Electric,Automatic,43817.59,2025-05-25,2025-08-01,Nevada,298.2,0,87.1,7.0,5,147.4,554
Tesla Model Y,Performance,Red Multi-Coat,Electric,Automatic,69458.8,2024-04-03,2024-06-02,Connecticut,305.0,0,79.5,5.7,7,167.3,448
Tesla Model X,Performance,Midnight Silver Metallic,Electric,Automatic,99238.01,2025-03-26,2025-06-14,Oregon,319.6,0,99.6,9.9,7,161.8,454
Tesla Model X,Long Range,Pearl White,Electric,Automatic,121457.19,2024-10-06,2024-10-31,Washington,329.1,0,79.1,6.9,7,144.6,675
Tesla Cybertruck,Performance,Solid Black,Electric,Automatic,56377.18,2025-03-27,2025-06-14,Florida,426.8,0,96.6,1.3,5,158.1,638
Tesla Model S,Long Range,Pearl White,Electric,Automatic,109823.88,2025-12-18,2026-01-05,Maryland,386.9,0,88.4,7.2,5,154.6,534
Tesla Cybertruck,Plaid,Red Multi-Coat,Electric,Automatic,59800.62,2025-12-19,2026-03-02,Colorado,426.5,0,67.3,3.7,5,170.0,513
Tesla Model X,Plaid,Midnight Silver Metallic,Electric,Automatic,88267.83,2024-10-18,2024-10-24,Washington,305.4,0,91.9,7.0,7,168.3,780
Tesla Model S,Plaid,Deep Blue Metallic,Electric,Automatic,104153.16,2025-04-11,2025-06-05,Oregon,375.6,0,86.5,3.5,5,168.2,487
Tesla Cybertruck,Performance,Solid Black,Electric,Automatic,60581.96,2025-08-19,2025-09-22,Arizona,294.5,0,78.9,2.8,5,155.0,560
Tesla Model X,Plaid,Stealth Grey,Electric,Automatic,100776.42,2026-03-16,2026-05-22,Colorado,320.5,0,61.8,9.0,7,160.4,635
Tesla Model 3,Long Range,Red Multi-Coat,Electric,Automatic,45673.85,2025-12-27,2026-03-08,Florida,304.1,0,87.3,5.0,5,150.4,538
Tesla Model 3,Long Range,Stealth Grey,Electric,Automatic,41423.34,2024-11-04,2025-01-14,California,275.9,0,67.9,7.5,5,143.6,570
Tesla Model Y,Performance,Solid Black,Electric,Automatic,49531.56,2025-11-17,2026-01-15,Maryland,309.4,0,89.4,1.4,7,160.1,860
Tesla Model X,Standard Range,Red Multi-Coat,Electric,Automatic,104439.32,2025-11-02,2026-01-18,Maryland,321.3,0,85.1,3.9,7,146.5,508
Tesla Model X,Standard Range,Pearl White,Electric,Automatic,89043.86,2025-05-14,2025-05-25,Oregon,332.1,0,90.2,11.7,7,145.4,601
Tesla Model Y,Long Range,Midnight Silver Metallic,Electric,Automatic,58109.41,2025-08-02,2025-09-05,Oregon,268.7,0,81.3,4.6,7,149.6,516
Tesla Model Y,Performance,Solid Black,Electric,Automatic,44897.03,2026-01-06,2026-01-19,Colorado,283.9,0,88.5,0.9,7,165.3,451
Tesla Roadster,Long Range,Red Multi-Coat,Electric,Automatic,209450.44,2024-11-05,2024-12-07,Florida,434.7,0,85.6,2.5,5,164.6,453
Tesla Model X,Plaid,Stealth Grey,Electric,Automatic,86343.36,2025-08-15,2025-10-21,New Jersey,332.5,0,98.5,2.6,7,154.6,588
Tesla Model Y,Plaid,Stealth Grey,Electric,Automatic,63489.86,2024-11-26,2024-12-27,Washington,285.4,0,73.2,9.8,7,156.0,454
Tesla Cybertruck,Plaid,Ultra Red,Electric,Automatic,75108.51,2024-11-03,2025-01-16,Washington,351.6,0,70.5,0.8,5,158.6,565
Tesla Model Y,Plaid,Midnight Silver Metallic,Electric,Automatic,50771.82,2025-11-27,2026-01-26,Virginia,297.4,0,84.1,3.5,7,142.9,480
Tesla Roadster,Plaid,Solid Black,Electric,Automatic,236656.57,2025-10-18,2025-11-19,Washington,447.7,0,78.7,3.3,5,147.3,617
Tesla Model X,Long Range,Red Multi-Coat,Electric,Automatic,92048.03,2025-09-25,2025-12-06,Illinois,312.0,0,91.3,4.0,7,155.4,430
Tesla Model Y,Long Range,Red Multi-Coat,Electric,Automatic,63755.3,2025-04-24,2025-05-06,Nevada,283.0,0,90.4,1.0,7,169.8,466
Tesla Cybertruck,Long Range,Stealth Grey,Electric,Automatic,66680.92,2024-12-12,2025-02-18,Illinois,278.1,0,67.9,4.6,5,156.1,500
Tesla Model X,Standard Range,Pearl White,Electric,Automatic,138268.43,2025-03-24,2025-05-18,Washington,317.6,0,82.1,10.2,7,156.3,479
Tesla Roadster,Performance,Deep Blue Metallic,Electric,Automatic,243983.4,2024-09-05,2024-10-12,Virginia,471.5,0,71.8,1.2,5,145.0,426
Tesla Model Y,Standard Range,Ultra Red,Electric,Automatic,58731.77,2025-12-09,2025-12-20,Maryland,298.6,0,68.6,11.8,7,157.3,434
Tesla Roadster,Performance,Red Multi-Coat,Electric,Automatic,240826.23,2025-04-03,2025-06-18,Arizona,460.9,0,85.1,4.1,5,169.2,497
Tesla Cybertruck,Plaid,Pearl White,Electric,Automatic,73935.07,2024-09-20,2024-11-01,Arizona,337.6,0,72.2,4.4,5,166.1,488
Tesla Model 3,Performance,Solid Black,Electric,Automatic,47455.56,2024-08-08,2024-10-27,Nevada,328.5,0,96.8,3.8,5,165.6,478
Tesla Model S,Plaid,Ultra Red,Electric,Automatic,114788.63,2025-01-17,2025-03-19,Connecticut,331.7,0,62.1,4.2,5,165.6,541
Tesla Roadster,Plaid,Stealth Grey,Electric,Automatic,227849.42,2025-08-20,2025-09-26,Connecticut,455.2,0,73.9,6.5,5,164.5,460
Tesla Cybertruck,Plaid,Red Multi-Coat,Electric,Automatic,75649.24,2024-04-10,2024-06-09,Arizona,361.0,0,71.3,7.3,5,141.5,475
Tesla Model Y,Long Range,Red Multi-Coat,Electric,Automatic,65399.09,2024-04-19,2024-07-18,Maryland,282.3,0,75.6,8.0,7,147.4,511
Tesla Roadster,Performance,Pearl White,Electric,Automatic,207604.84,2025-08-05,2025-08-22,Illinois,568.0,0,90.1,11.8,5,140.9,553
Tesla Roadster,Long Range,Midnight Silver Metallic,Electric,Automatic,239532.29,2025-10-29,2025-11-19,Texas,558.0,0,77.8,9.7,5,166.2,478
Tesla Model X,Long Range,Ultra Red,Electric,Automatic,138725.54,2025-05-13,2025-08-07,Virginia,335.0,0,87.4,11.7,7,166.1,557
Tesla Model Y,Long Range,Deep Blue Metallic,Electric,Automatic,66380.78,2025-09-16,2025-11-26,Connecticut,301.3,0,98.9,3.8,7,158.1,600
Tesla Model X,Performance,Red Multi-Coat,Electric,Automatic,118425.53,2025-11-08,2025-12-15,Arizona,327.9,0,81.7,5.2,7,150.5,784
Tesla Model Y,Plaid,Stealth Grey,Electric,Automatic,69499.84,2025-04-15,2025-07-02,California,289.7,0,74.1,3.1,7,144.6,535
Tesla Model X,Long Range,Solid Black,Electric,Automatic,126811.59,2025-07-14,2025-07-16,Connecticut,313.4,0,93.3,10.9,7,162.3,731
Tesla Model Y,Performance,Red Multi-Coat,Electric,Automatic,65835.24,2025-04-22,2025-07-12,Connecticut,314.4,0,69.2,3.5,7,170.0,512
Tesla Cybertruck,Plaid,Midnight Silver Metallic,Electric,Automatic,79167.04,2025-07-29,2025-10-11,New York,342.7,0,95.9,9.5,5,161.8,533
Tesla Model X,Standard Range,Stealth Grey,Electric,Automatic,125379.94,2025-03-18,2025-05-17,Nevada,333.8,0,80.5,1.8,7,155.0,623
Tesla Model Y,Plaid,Ultra Red,Electric,Automatic,45786.67,2024-10-29,2024-11-19,Connecticut,327.1,0,80.1,8.0,7,167.8,724
Tesla Model X,Long Range,Midnight Silver Metallic,Electric,Automatic,89787.64,2024-11-12,2025-01-19,Colorado,321.9,0,61.3,11.4,7,152.1,764
Tesla Roadster,Plaid,Ultra Red,Electric,Automatic,216590.75,2024-04-30,2024-07-14,New York,526.5,0,73.8,7.0,5,146.6,507
Tesla Cybertruck,Long Range,Red Multi-Coat,Electric,Automatic,61431.66,2024-04-12,2024-06-08,Washington,378.6,0,98.9,9.6,5,149.7,618
Tesla Model 3,Standard Range,Solid Black,Electric,Automatic,53582.61,2025-08-17,2025-11-02,Maryland,330.9,0,69.3,1.2,5,160.9,620
Tesla Model Y,Standard Range,Midnight Silver Metallic,Electric,Automatic,64678.63,2024-08-14,2024-09-19,Nevada,287.2,0,82.4,10.5,7,144.3,892
Tesla Model 3,Long Range,Solid Black,Electric,Automatic,40426.25,2026-02-14,2026-04-16,Texas,318.8,0,90.5,8.2,5,161.8,523
Tesla Model Y,Long Range,Solid Black,Electric,Automatic,45784.03,2025-10-10,2025-12-05,California,277.2,0,75.3,0.9,7,158.2,695
Tesla Cybertruck,Long Range,Stealth Grey,Electric,Automatic,78762.83,2024-05-22,2024-08-10,Connecticut,449.7,0,63.4,6.1,5,155.8,528
Tesla Model X,Long Range,Ultra Red,Electric,Automatic,111101.2,2025-11-16,2026-01-10,Colorado,311.9,0,90.9,9.7,7,144.9,824
Tesla Model S,Long Range,Midnight Silver Metallic,Electric,Automatic,101267.93,2025-08-12,2025-10-09,Florida,365.2,0,86.3,10.9,5,152.1,511
Tesla Model X,Performance,Red Multi-Coat,Electric,Automatic,112248.1,2024-09-21,2024-10-26,Texas,328.6,0,69.9,4.7,7,170.0,879
Tesla Roadster,Performance,Red Multi-Coat,Electric,Automatic,241813.61,2025-10-18,2025-10-27,Florida,521.4,0,70.4,8.6,5,161.1,480
Tesla Model Y,Plaid,Midnight Silver Metallic,Electric,Automatic,52513.76,2024-05-03,2024-07-27,Virginia,321.1,0,65.2,7.1,7,148.4,875
Tesla Model S,Plaid,Solid Black,Electric,Automatic,123035.95,2024-04-20,2024-07-18,Nevada,399.4,0,64.3,3.5,5,149.8,569
Tesla Model 3,Long Range,Deep Blue Metallic,Electric,Automatic,44119.69,2025-03-28,2025-06-04,Massachusetts,310.6,0,81.2,11.4,5,169.3,505
Tesla Roadster,Standard Range,Red Multi-Coat,Electric,Automatic,207316.1,2025-06-30,2025-08-23,Connecticut,563.1,0,97.6,6.4,5,142.7,545
Tesla Cybertruck,Plaid,Red Multi-Coat,Electric,Automatic,74206.58,2025-08-22,2025-10-12,Nevada,468.4,0,91.5,1.3,5,167.0,515
Tesla Cybertruck,Long Range,Solid Black,Electric,Automatic,63955.43,2024-07-16,2024-09-07,New Jersey,314.3,0,62.4,1.6,5,169.5,548
Tesla Roadster,Long Range,Ultra Red,Electric,Automatic,208935.34,2024-09-20,2024-11-10,Massachusetts,536.2,0,66.4,9.7,5,143.4,575
Tesla Roadster,Long Range,Solid Black,Electric,Automatic,203873.69,2026-03-08,2026-04-08,Massachusetts,545.5,0,85.5,9.1,5,167.7,532
Tesla Model Y,Performance,Solid Black,Electric,Automatic,57844.67,2025-09-28,2025-10-12,Maryland,287.4,0,94.9,11.5,7,164.0,751
Tesla Roadster,Plaid,Ultra Red,Electric,Automatic,218456.28,2025-10-31,2025-11-24,New Jersey,499.5,0,71.3,9.3,5,140.4,429
Tesla Model 3,Performance,Solid Black,Electric,Automatic,51832.86,2025-02-10,2025-04-19,Maryland,326.1,0,86.6,9.3,5,161.2,525
Tesla Model 3,Long Range,Deep Blue Metallic,Electric,Automatic,49552.94,2025-03-20,2025-04-23,Arizona,301.9,0,94.1,1.0,5,166.1,644
Tesla Model X,Performance,Ultra Red,Electric,Automatic,83597.2,2024-10-19,2024-11-03,Massachusetts,333.0,0,79.1,5.8,7,142.3,717
Tesla Model S,Plaid,Red Multi-Coat,Electric,Automatic,82299.56,2024-05-29,2024-07-19,Connecticut,343.8,0,96.8,5.4,5,167.3,555
Tesla Cybertruck,Plaid,Red Multi-Coat,Electric,Automatic,61541.73,2024-10-31,2025-01-28,New York,471.5,0,91.5,1.7,5,166.9,621
Tesla Model S,Standard Range,Stealth Grey,Electric,Automatic,95614.01,2025-07-15,2025-08-27,Maryland,349.8,0,73.4,11.7,5,141.4,506
Tesla Model S,Plaid,Deep Blue Metallic,Electric,Automatic,110573.43,2024-08-19,2024-10-07,Illinois,359.6,0,77.5,11.2,5,169.2,509
Tesla Roadster,Standard Range,Ultra Red,Electric,Automatic,221380.28,2025-04-16,2025-05-13,Virginia,551.9,0,83.6,9.5,5,146.0,488
Tesla Cybertruck,Performance,Pearl White,Electric,Automatic,57699.13,2024-10-02,2024-12-05,Maryland,257.2,0,88.0,3.0,5,167.2,522
Tesla Model S,Standard Range,Red Multi-Coat,Electric,Automatic,94305.47,2024-07-19,2024-08-04,Arizona,377.6,0,75.9,10.4,5,145.2,626
Tesla Model Y,Long Range,Pearl White,Electric,Automatic,65357.89,2024-04-11,2024-05-01,New Jersey,293.2,0,81.2,11.0,7,152.8,516
Tesla Model Y,Standard Range,Midnight Silver Metallic,Electric,Automatic,54550.38,2025-11-19,2026-02-08,Illinois,291.4,0,94.2,5.0,7,157.1,513
Tesla Cybertruck,Standard Range,Solid Black,Electric,Automatic,55793.96,2025-01-23,2025-04-01,Massachusetts,335.4,0,62.4,3.3,5,169.7,460
Tesla Model X,Plaid,Midnight Silver Metallic,Electric,Automatic,104404.65,2025-12-20,2026-01-23,Oregon,307.0,0,72.3,5.1,7,140.7,870
Tesla Cybertruck,Long Range,Ultra Red,Electric,Automatic,78336.02,2025-05-18,2025-08-14,Florida,397.9,0,64.0,2.0,5,141.5,437
Tesla Roadster,Performance,Solid Black,Electric,Automatic,213836.01,2025-08-15,2025-09-13,Nevada,552.6,0,78.6,3.7,5,162.6,585
Tesla Roadster,Plaid,Ultra Red,Electric,Automatic,235399.94,2025-02-24,2025-03-17,Illinois,469.9,0,80.8,10.4,5,158.1,515
Tesla Model 3,Performance,Deep Blue Metallic,Electric,Automatic,45070.81,2025-09-09,2025-11-20,Illinois,284.0,0,83.3,10.8,5,152.8,601
Tesla Model S,Plaid,Deep Blue Metallic,Electric,Automatic,88369.81,2025-04-23,2025-07-02,Connecticut,397.0,0,88.9,7.7,5,158.4,524
